Team,Season,SeasonType,Win,Loss,MatchCount,WinPercentage,Pts,OppPts,Pace,OffEff,DefEff,EFgPercentage,OppEFgPercentage,TsPercentage,OppTsPercentage,RebRate,EffPts,OppEffPts,FastBreakPts,OppFBPts,PointsInPaint,OppPointsInPaint,PointsOffTO,OppPointsOffTO,SecondChancePTS,OppSecondChancePTS,PersonalFoulsPG,OppPersonalFoulsPG,ShootingFoulsPG,ShootingFoulsDrawnPG,LessThnEightFeedUsage,EightToSixteenFeedUsage,SixteenToTwentyFourFeetUsage,TwentyFourPlusFeetUsage,AvgShotDistance,OppAvgShotDistance,AvgMadeShotDistance,OppMadeAvgShotDis
Minnesota Timberwolves,2016,REG,31,51,82,0.37804878,105.57,106.68,94.16,111.42,112.34,0.511,0.535,0.555,0.571,51.21,120.89,120.11,12.8,13.9,45.66,46.24,17.26,16.72,14.77,13.41,20.073,20.5,11.634,12.549,43.59,12.96,18.57,24.69,11.97,12.6,9.66,10.05
New Orleans Pelicans,2016,REG,34,48,82,0.414634146,104.34,106.44,97.23,106.1,108.17,0.504,0.509,0.539,0.542,47.48,118.4,122.5,15.05,13.59,44.12,44.1,15.6,14.63,10.8,12.35,18.171,19.281,10.415,11.537,41.38,12.91,14.96,30.57,12.88,13.18,10.56,10.74
New York Knicks,2016,REG,31,51,82,0.37804878,104.34,108.01,95.6,108.18,112.17,0.496,0.511,0.534,0.551,50.26,117.37,121.12,10.89,13.99,40.39,46.1,16.54,14.37,14.94,14.68,20.342,18.488,12.415,10.951,38.96,16.03,17.16,27.53,12.75,12.35,10.82,9.97
Oklahoma City Thunder,2016,REG,47,35,82,0.573170732,106.6,105.84,97.1,109.09,108.6,0.5,0.511,0.54,0.551,53.42,117.95,116.87,16.89,11.13,49.88,47.51,16.94,15.63,14.79,12.17,20.915,20.695,12.732,13.061,46.34,13.27,10.85,29.27,11.65,11.77,9.05,9.52
Orlando Magic,2016,REG,29,53,82,0.353658537,101.07,107.65,95.67,104.98,111.58,0.489,0.523,0.524,0.559,48.68,111.39,125.68,14.05,13.02,42.22,46.59,15.91,14.95,12.45,13.38,19.317,18.683,11.829,11.098,38.67,15.64,15.72,29.61,13.06,12.56,10.66,10.27
Philadelphia 76ers,2016,REG,28,54,82,0.341463415,102.44,108.13,97.96,103.78,109.65,0.501,0.512,0.539,0.555,48.78,113.99,123.05,12.91,15.32,44.34,45.1,18.5,17.32,13.32,13.49,21.866,19.634,13.415,11.244,43.26,11.97,9.98,34.7,12.75,12.34,10.06,10.08
Phoenix Suns,2016,REG,24,58,82,0.292682927,107.7,113.33,99.62,107.29,112.96,0.493,0.525,0.538,0.572,50.52,115.84,126.15,19.41,16,47.46,43.98,18.15,17.68,14.93,13.51,24.756,22.22,14.427,13.402,41.88,16.07,16.53,25.21,12.07,12.74,9.62,10.7
Portland Trailblazers,2016,REG,41,41,82,0.5,107.94,108.46,96.18,110.82,111.58,0.52,0.508,0.559,0.554,49.81,119.83,120.92,11.33,12.66,42.37,42.93,15.68,14.68,12.65,12.56,21.171,19.805,13.707,11.89,40.65,12.38,14.79,31.93,12.96,12.7,11.07,10.93
Sacramento Kings,2016,REG,32,50,82,0.390243902,102.81,106.68,94.19,108.05,112.1,0.516,0.528,0.556,0.568,48.92,114.34,123.34,10.71,14.74,43.02,40.73,17.41,16.26,11.02,12.49,20.329,20.073,12.39,11.89,41.88,13.56,15.53,28.75,12.62,13.77,10.6,11.29
San Antonio Spurs,2016,REG,61,21,82,0.743902439,105.33,98.13,93.5,111.94,104.07,0.524,0.492,0.564,0.53,51.41,125.16,107.55,12.1,12.63,39.56,40.78,14.7,17.26,12.95,12.38,18.268,19.793,10.573,11.378,37.02,15.93,19,27.86,13,12.36,11.23,10.41
Toronto Raptors,2016,REG,51,31,82,0.62195122,106.85,102.65,94.28,112.77,108.5,0.517,0.507,0.561,0.55,50.69,119.68,113,12.21,11.52,43.76,41.68,14.93,17.38,13.51,13.06,20.829,20.317,12.098,12.549,40.37,15.55,15.26,28.64,12.72,12.97,10.72,10.65
Utah Jazz,2016,REG,51,31,82,0.62195122,100.71,96.77,90.36,111.03,106.63,0.526,0.493,0.563,0.531,51.82,114.61,103.94,8.13,10.55,42.76,40.95,15.16,14.66,11.04,10.71,18.842,20.183,10.707,11.89,40.96,14.55,11.81,32.45,12.64,12.37,10.35,10.5
Washington Wizards,2016,REG,49,33,82,0.597560976,109.18,107.38,96.76,111.84,110.13,0.528,0.524,0.564,0.561,49.89,124.5,119.01,15.91,12.06,45.02,43.85,16.41,17.73,13.05,13.83,21.281,19.768,12.378,11.488,40.17,14.56,16.9,28.18,12.63,12.99,10.65,10.69
Atlanta Hawks,2015,REG,48,34,82,0.585365854,102.63,99.1,96.52,105.53,102.15,0.516,0.48,0.552,0.518,47.5,120.71,111.39,14.76,11.9,43.24,40.88,10.95,12.98,10.68,13.06,19.122,18.281,11.451,10.39,41.75,10.71,13.84,33.45,12.76,12.58,10.47,10.41
Boston Celtics,2015,REG,48,34,82,0.585365854,105.72,102.51,98.18,107.13,104.04,0.488,0.487,0.531,0.531,49.4,119.73,112.77,11.46,14.49,46,47.78,11.94,9.61,12.62,12.06,18,18.415,10.073,10.829,43.68,16.32,18.1,21.68,11.66,12.34,9.79,10.03
Brooklyn Nets,2015,REG,21,61,82,0.256097561,98.65,106,94.83,103.63,111.11,0.491,0.534,0.527,0.565,49.42,109.54,125.33,16.3,10.83,45.8,42.85,10.2,12.65,14.32,14.2,21.902,20.951,13.073,11.976,42.73,12.51,15.55,29,12.43,12.38,10.01,10.1
Charlotte Hornets,2015,REG,48,34,82,0.585365854,103.4,100.68,95.02,107.86,105.21,0.502,0.496,0.545,0.534,49.6,117.4,115.57,11.07,12.4,37.54,39.88,9.39,10.2,11.43,11.38,18.134,20.366,11.024,12.073,36.4,13.29,15.52,34.64,13.73,13.05,11.68,10.97
Chicago Bulls,2015,REG,42,40,82,0.512195122,101.65,103.12,95.45,105.29,106.94,0.487,0.485,0.526,0.52,50.2,115.89,118.18,10.2,13.76,40.88,44.37,10.06,8.6,13.59,14.26,18.842,18.72,11.549,10.915,41.5,15.43,18.51,24.11,12.32,12.23,10.71,10.18
Cleveland Cavaliers,2015,REG,57,25,82,0.695121951,104.33,98.33,92.72,111.52,105.01,0.524,0.496,0.558,0.534,52.04,118.43,108.37,11.84,11.18,40.93,40.73,10,10.43,13.22,11.21,20.317,20.61,11.622,11.415,39.39,12.83,12.52,35.09,13.33,12.46,11.03,10.22
Dallas Mavericks,2015,REG,42,40,82,0.512195122,102.29,102.6,94.07,106.98,107.28,0.502,0.504,0.544,0.54,48.49,114.32,116.22,11.22,16.05,37.98,40.78,9.83,10.57,10.63,13.41,19.451,21.427,11.305,10.732,35.79,14.47,15.87,33.6,13.71,13.07,11.4,10.77
Denver Nuggets,2015,REG,33,49,82,0.402439024,101.89,104.99,95.27,106.14,109.32,0.489,0.515,0.531,0.554,51.1,113.94,121.27,14.18,13.05,45.88,43.07,10.66,10.09,13.29,12.13,21.012,20.878,12.22,12.39,47.41,10.53,14.18,27.6,11.81,12.62,9.65,10.53
Detroit Pistons,2015,REG,44,38,82,0.536585366,101.96,101.35,94.49,106.82,106.17,0.491,0.504,0.522,0.542,52.12,108.48,114.17,11.07,10.4,43.44,44.37,9.68,10.56,14.93,10.72,18.988,21.622,10.915,13.329,44.16,13.92,11.66,29.76,12.33,11.95,10.09,9.85
Golden State Warriors,2015,REG,73,9,82,0.890243902,114.89,104.13,98.78,115.14,103.97,0.563,0.479,0.593,0.52,51.28,139.66,112.73,20.91,14.48,44.63,45.12,10.7,11.24,12.24,13.76,20.744,19.842,12.427,11.451,39.59,12.24,11.94,35.9,13.48,12.42,11.63,10.16
Houston Rockets,2015,REG,41,41,82,0.5,106.55,106.35,97.14,108.86,108.59,0.516,0.516,0.553,0.554,49.1,117.09,121.6,18.06,14.43,45.73,44.56,12.91,12.3,13.85,14.66,21.829,22.524,12.146,14.841,45.78,9.03,8.17,36.6,12.55,12.66,9.9,10.32
Indiana Pacers,2015,REG,45,37,82,0.548780488,102.16,100.45,96.31,105,103.26,0.497,0.489,0.536,0.528,49.83,114.84,109.46,13.35,12.22,40.93,41.46,11.07,12.94,12.85,13.05,20.012,20.439,11.902,11.451,37.32,13.85,21.88,26.66,13.15,12.76,10.75,10.45
Los Angeles Clippers,2015,REG,53,29,82,0.646341463,104.5,100.22,95.52,108.58,104.22,0.524,0.48,0.556,0.523,47.39,119.06,109.51,12.85,12.39,37.63,41.29,9.54,10.72,10.62,13.84,21.293,22.463,12.642,13.21,34.76,11.58,21.62,31.75,14.15,12.58,11.82,10.34
Los Angeles Lakers,2015,REG,17,65,82,0.207317073,97.34,106.9,95.31,101.88,112.01,0.46,0.523,0.508,0.556,48.06,101.52,127.56,12.15,16.99,38.12,47.68,11.11,9,13.01,14.29,20.268,19.183,12.427,12.195,37.85,16.41,16.9,28.49,13.06,12.19,10.71,9.62
Memphis Grizzlies,2015,REG,42,40,82,0.512195122,99.1,101.34,92.76,106.03,108.25,0.477,0.518,0.524,0.563,49.08,109.62,114.89,12.57,14.61,43.95,38.39,9.88,11.22,12.87,11.83,21.744,21.122,13.268,12.659,46.54,14.03,17.28,21.81,11.35,13.34,9.45,11.16
Miami Heat,2015,REG,48,34,82,0.585365854,100.04,98.4,92.91,106.85,104.9,0.508,0.485,0.545,0.525,51.68,115.85,107.17,11.12,10.72,46.41,41.98,9.99,9.82,12.71,12.95,18.317,19.61,10.939,12.159,43.43,16.23,18.36,21.69,11.58,12.22,9.23,10.26
Milwaukee Bucks,2015,REG,33,49,82,0.402439024,99.04,103.23,93.65,104.95,109.13,0.499,0.51,0.537,0.551,49.26,113.63,118.99,13.82,13.01,50.34,44.02,11.85,12.22,12.15,14.04,20.671,19.512,11.951,11.524,52.29,13.75,15.17,18.57,10.1,12.37,7.96,9.97
Minnesota Timberwolves,2015,REG,29,53,82,0.353658537,102.42,105.95,94.83,106.91,110.35,0.498,0.524,0.55,0.559,49.79,116.38,118.82,13.59,13.38,44.1,46.12,11.48,9.95,13.02,13.22,20.683,21.561,11.939,14.159,42.66,13.23,23.9,20.06,11.88,12.42,9.55,9.94
New Orleans Pelicans,2015,REG,30,52,82,0.365853659,102.72,106.51,96.5,105.91,109.95,0.498,0.523,0.537,0.564,48.96,113.98,123.54,12.44,11.73,41.44,43.2,9.24,9.98,11.51,11.3,20.89,19.878,12.402,11.28,41.01,13.76,17.54,27.48,12.52,12.92,10.67,10.65
New York Knicks,2015,REG,32,50,82,0.390243902,98.22,100.88,92.89,105.08,107.79,0.483,0.487,0.526,0.526,50.1,110.45,112.85,8.44,12.8,35.85,43.1,10.65,8.18,13.16,12.7,19.695,18.512,12.11,11.305,36.61,17.61,20.26,25.32,12.99,12,11.21,9.95
Oklahoma City Thunder,2015,REG,55,27,82,0.670731707,110.22,102.94,96.34,113.54,106.07,0.524,0.484,0.566,0.524,54.74,128.88,110.38,17.32,13.23,47.61,45.12,11,10.56,15.82,13.96,20.622,20.159,12.524,12.915,42.72,15.02,14.72,27.41,11.95,11.79,9.7,9.64
Orlando Magic,2015,REG,35,47,82,0.426829268,102.06,103.68,95.57,105.59,107.13,0.5,0.513,0.533,0.551,49.44,116.49,118.38,12.3,13.16,43.59,43.41,10.43,10.65,12.63,11.39,20.744,18.256,12.317,10.39,40.92,13.01,20.6,25.14,12.52,12.51,10.38,10.31
Philadelphia 76ers,2015,REG,10,72,82,0.12195122,97.42,107.65,97.29,99.5,110.23,0.487,0.51,0.519,0.555,46.44,104.24,127.18,12.18,16.71,43.15,45.49,13.88,10.66,11.7,14.74,21.707,19.159,13.671,11.378,44.42,12.85,9.98,32.52,12.42,11.96,9.9,9.92
Phoenix Suns,2015,REG,23,59,82,0.280487805,100.87,107.52,98.17,102.62,109.58,0.487,0.523,0.526,0.563,50.63,107.24,123.02,14.43,17.27,41.44,43.78,13.39,11.17,14.02,12.61,22.659,21.585,13.634,11.841,41.74,12.58,15.53,29.94,12.61,12.58,10.37,10.47
Portland Trailblazers,2015,REG,44,38,82,0.536585366,105.15,104.32,95.82,109.04,108.47,0.511,0.503,0.548,0.543,51,116.42,116.42,10.7,11.06,39.07,40.88,10.99,9.63,14.1,12.4,21.732,19.476,13.537,11.841,39.08,12.02,15.66,33.04,13.33,12.63,11.5,10.97
Sacramento Kings,2015,REG,33,49,82,0.402439024,106.59,109.06,99.61,106.33,108.94,0.51,0.521,0.546,0.557,49.56,119.85,124.13,17.26,15.01,49.44,43.63,12.09,11.07,12.96,13.62,20.439,21.951,11.902,13.171,48.15,10.36,15.52,25.71,11.68,13.27,9.49,11.09
San Antonio Spurs,2015,REG,67,15,82,0.817073171,103.54,92.89,93.27,110.87,99.47,0.526,0.477,0.563,0.514,52.01,126.81,100.18,10.35,12.15,43.49,40.02,8.83,10.6,11.85,10.68,17.476,19.476,9.951,10.878,38.78,18.74,20.19,22.06,12.19,12.17,10.25,10.13
Toronto Raptors,2015,REG,56,26,82,0.682926829,102.71,98.21,92.13,110.92,105.99,0.504,0.498,0.552,0.535,51.56,115.33,108.59,11.02,10.95,42.02,39.95,9.33,11.05,12.32,11.56,19.634,21.963,11.185,13.42,42.74,14.72,13.9,28.37,12.38,12.58,10.4,10.88
Utah Jazz,2015,REG,40,42,82,0.487804878,97.68,95.89,90.47,106.49,104.6,0.501,0.495,0.54,0.534,51.9,108.29,104.45,9.27,11.72,41.71,39.63,9.52,10.26,13.5,11.46,20.183,19.866,11.415,11.732,41.32,16.34,12.73,29.27,12.32,12.33,10.18,10.39
Washington Wizards,2015,REG,41,41,82,0.5,104.07,104.56,97.81,106,106.5,0.511,0.515,0.544,0.555,48.59,116.67,117.61,18.57,12.74,42.34,41.12,9.67,11.35,10.6,11.71,20.829,20.134,12,11.707,38.48,14.4,18.96,27.91,12.97,13.03,10.64,10.93
Atlanta Hawks,2014,REG,60,22,82,0.731707317,102.55,97.12,93.6,109.28,103.67,0.527,0.492,0.564,0.528,48.18,120.76,109.82,13.33,11.17,41.41,39.41,15.79,18.49,11.04,14.13,17.768,19.646,10.585,11.146,41.85,10.93,15.09,32.08,12.75,13.04,10.85,10.75
Boston Celtics,2014,REG,40,42,82,0.487804878,101.37,101.21,95.47,105.11,105.08,0.489,0.494,0.523,0.533,49.52,114.24,113.37,9.41,13.82,45.1,43.59,15.61,14.32,12.26,14.05,19.256,20.012,11.122,11.646,42.64,17.05,16.31,23.63,11.92,12.43,9.76,10.13
Brooklyn Nets,2014,REG,38,44,82,0.463414634,98.02,100.9,92.35,104.81,107.61,0.491,0.506,0.529,0.539,48.86,107.95,116.67,13.88,10.85,41.78,44.61,16.2,17.33,14.05,13.54,21.195,18.842,12.061,10.232,39.64,13.03,19.33,27.79,12.84,12.19,10.56,9.82
Charlotte Hornets,2014,REG,33,49,82,0.402439024,94.16,97.33,92.19,100.98,104.29,0.456,0.487,0.498,0.525,49.96,104.02,111.52,9.17,11.04,36.51,38.49,12.84,13.4,12.37,12.57,18.22,20.829,10.512,11.854,37.61,16.42,23.38,22.33,12.75,12.8,10.8,11.05
Chicago Bulls,2014,REG,50,32,82,0.609756098,100.79,97.79,92.46,107.91,104.41,0.489,0.473,0.536,0.51,51.3,115.39,108.43,10.99,12.99,41.05,40.78,15.34,13.68,13.87,13.16,18.232,21.171,10.963,13.122,43.71,13.09,16.33,26.51,12.18,12.3,10.23,10.51
Cleveland Cavaliers,2014,REG,53,29,82,0.646341463,103.13,98.66,92.18,111.32,106.66,0.52,0.502,0.557,0.535,51.1,115.71,112.93,11.33,11.83,40.98,42.71,16.21,16.01,12.77,12.4,18.415,20.549,10.244,12.317,41.88,12.35,12.33,33.3,12.77,12.28,10.55,10
Dallas Mavericks,2014,REG,50,32,82,0.609756098,105.22,102.32,95.11,109.52,106.55,0.515,0.503,0.55,0.541,47.81,118.38,114.28,15.98,15.87,42.71,40.88,15.18,19.29,13.09,14.02,20.049,22.146,11.39,11.427,40.05,12.17,18.18,29.46,12.81,12.7,10.47,10.56
Denver Nuggets,2014,REG,30,52,82,0.365853659,101.46,105.01,95.7,104.96,108.7,0.479,0.504,0.518,0.546,49.78,110.49,120.68,15,13.2,44.93,42.88,16.44,16.89,14.46,14.15,22.951,20.707,13.829,12.439,44.48,11.99,15.13,28.09,12.26,12.35,9.85,10.19
Detroit Pistons,2014,REG,32,50,82,0.390243902,98.5,99.5,92.45,105.73,106.92,0.482,0.502,0.515,0.539,50.45,109.21,115.79,13.4,11.34,44.76,42.93,15.79,15.88,14.85,13.54,19.012,19.317,10.829,11.695,48.49,9.67,12.81,28.7,11.77,12.03,9.61,9.94
Golden State Warriors,2014,REG,67,15,82,0.817073171,109.95,99.85,96.56,113.58,102.76,0.54,0.469,0.571,0.514,50.06,133.06,106.44,20.88,13.93,45.27,41.59,15.02,19.51,12.52,14.2,19.854,18.793,12.543,10.864,39.38,14.17,15.41,30.69,13.08,12.52,10.94,10.37
Houston Rockets,2014,REG,56,26,82,0.682926829,103.93,100.49,94.9,108.82,105.09,0.512,0.486,0.548,0.526,49.91,114.54,111.04,18.73,15.28,45.27,44.1,18.15,18.71,13.55,14.01,21.988,21.098,11.938,13.012,46.31,7.65,6.73,39.06,12.71,12.25,10.03,9.73
Indiana Pacers,2014,REG,38,44,82,0.463414634,97.33,97.05,92.7,104.07,104,0.484,0.478,0.523,0.521,51.22,108.95,107.13,9.55,13.05,37.12,38.29,15.52,14.23,13.43,11.79,21.244,21.39,12.439,11.317,37.81,14.46,22.23,25.22,13,12.61,11.21,10.68
Los Angeles Clippers,2014,REG,56,26,82,0.682926829,106.72,100.13,94.13,113.09,106.22,0.533,0.493,0.565,0.535,49.84,123.89,109.83,14.18,12.28,37.41,38.83,14.85,15.7,12.52,12.78,21.329,21.537,12.915,12.756,33.97,11.91,21.91,32.03,14.14,12.98,12,10.84
Los Angeles Lakers,2014,REG,21,61,82,0.256097561,98.45,105.29,93.77,103.67,110.98,0.473,0.518,0.513,0.557,49.83,107.66,122.37,12.2,15.13,40.02,45.07,15.91,14.49,14.27,12.54,21.232,19.378,13.659,12.012,38.58,16.1,23.3,21.89,12.54,12.14,10.34,9.83
Memphis Grizzlies,2014,REG,55,27,82,0.670731707,98.32,95.07,90.53,107.38,103.86,0.489,0.492,0.531,0.526,50.07,112.45,104.89,11.68,13.43,47.15,38.98,14.02,16.62,12.91,11.63,19.11,20.268,10.432,11.827,46.43,17.3,17.92,18.02,10.95,12.82,8.91,10.6
Miami Heat,2014,REG,37,45,82,0.451219512,93.33,96.22,90.3,103.1,106.03,0.499,0.505,0.54,0.543,48.66,102.32,106.94,9.84,11.41,39.61,41,16.85,16.02,12.09,13.24,19.732,20.598,12.073,12.012,40.09,15.34,18.37,25.89,12.38,12.48,9.95,10.18
Milwaukee Bucks,2014,REG,41,41,82,0.5,97.84,97.42,93.58,103.24,102.52,0.499,0.487,0.536,0.529,49.54,112.56,107.24,15.09,10.7,42.83,39.78,16.76,19.18,11.95,13.32,22.122,20.11,11.78,10.39,44.86,13.63,19.21,22.2,11.4,12.21,9.49,9.95
Minnesota Timberwolves,2014,REG,16,66,82,0.195121951,97.76,106.55,94.32,102.99,112.52,0.468,0.537,0.517,0.569,48.45,105.61,124.48,12.88,14.33,41.29,48.02,17.4,17.44,14.12,14.91,19.159,21.354,11.037,13.439,43.05,15.53,23.5,17.73,11.6,12.22,9.5,9.66
New Orleans Pelicans,2014,REG,45,37,82,0.548780488,99.35,98.56,89.91,109.95,109,0.501,0.496,0.537,0.533,51.13,114.83,111.26,10.68,13.7,44.98,46.49,14.59,13.68,13.56,12.9,18.659,18.695,10.877,11.235,46.64,13.1,16.93,23.06,11.42,11.46,9.6,9.15
New York Knicks,2014,REG,17,65,82,0.207317073,90.83,99.85,90.88,99.07,108.87,0.47,0.512,0.508,0.554,48.24,99.02,114.37,8.35,12.27,33.37,41.12,17.15,14.63,12.4,12.52,21.244,18.854,12.683,10.037,35.82,15.54,24.65,23.73,13.27,12.2,11.61,10.33
Oklahoma City Thunder,2014,REG,45,37,82,0.548780488,103.95,101.77,94.5,109.17,107.07,0.492,0.489,0.532,0.529,52.66,116.72,112.06,17.02,12.54,44.93,42.76,16.3,15.23,15.22,12.77,22.305,20.427,12.42,12.667,43.3,14.14,16.42,25.98,11.93,12.1,9.73,9.96
Orlando Magic,2014,REG,25,57,82,0.304878049,95.7,101.42,92.23,103.36,109.57,0.494,0.514,0.525,0.551,49.03,105.05,117.82,11.26,12.32,45.12,41.05,16.73,16.17,12.2,11.67,20.902,17.89,11.889,10.037,45.47,13.8,17.14,23.37,11.56,12.75,9.53,10.56
Philadelphia 76ers,2014,REG,18,64,82,0.219512195,91.78,100.6,95.56,95.73,105.04,0.459,0.497,0.494,0.539,48.13,97.2,117.89,14.76,14.63,40.8,41.71,20.57,17.24,13.82,13.95,21.61,20.134,13.195,12.28,47.15,9.25,11.75,31.59,12.22,12.14,9.64,10.04
Phoenix Suns,2014,REG,39,43,82,0.475609756,102.4,103.31,96.12,105.46,106.58,0.501,0.497,0.537,0.539,48.78,112.24,114.28,18.2,15.24,42.78,45.34,17.22,17.68,12.62,14.43,21.268,20.293,12.293,11.146,39.64,16.01,15.26,28.77,12.61,11.88,10.17,9.65
Portland Trailblazers,2014,REG,51,31,82,0.62195122,102.79,98.56,93.72,108.72,104.19,0.508,0.476,0.544,0.513,50.7,117.16,109.73,10.09,13.34,37.88,43.1,15.13,14.1,13.44,13.77,18.22,18.707,10.866,10.232,35.47,13.95,18.96,31.41,13.74,11.97,11.47,10.04
Sacramento Kings,2014,REG,29,53,82,0.353658537,101.34,105.05,92.71,108.34,112.12,0.49,0.507,0.542,0.543,51.75,109.95,119.06,14.94,16.8,45.1,43.85,18.11,14.99,14.13,13.6,20.683,23.878,12.15,15.113,48.18,13.14,18.19,20.28,11.05,12.91,9.03,10.51
San Antonio Spurs,2014,REG,55,27,82,0.670731707,103.18,96.99,93.47,108.87,102.58,0.517,0.484,0.555,0.521,50.88,121.99,106.65,10.98,14.1,45,42.46,15.06,16.09,12.15,11.94,19.073,19.671,10.927,10.866,43.01,15.28,14.78,26.78,12.05,11.67,10,9.83
Toronto Raptors,2014,REG,49,33,82,0.597560976,103.99,100.92,90.13,114.36,110.94,0.508,0.506,0.553,0.542,49.46,115.33,113.34,11.93,12.35,42.98,43.68,14.66,15.85,14.13,14.17,20.878,20.342,11.55,12.288,41.43,13.82,14.52,30.05,12.77,12.2,10.45,10.02
Utah Jazz,2014,REG,38,44,82,0.463414634,94.78,94.72,90.06,105.43,105.24,0.494,0.492,0.531,0.529,52.8,107.49,103.68,12.16,12.65,41.61,39.46,17.43,15.18,15.12,12.54,19.232,19.488,11.207,12.378,43.59,12.93,16.01,27.17,12.19,12.34,9.64,10.46
Washington Wizards,2014,REG,46,36,82,0.56097561,98.54,97.82,93.09,104.39,103.64,0.499,0.481,0.534,0.521,51.72,114.73,104.92,15.45,11.74,41.49,38.27,16.43,15.23,11.95,12.61,20.817,19.634,12.183,10.89,39.57,17.11,22.96,20.16,12.11,13.01,9.94,11.01
